commentaire,rating,source
"Not compatible with my Galaxy A9 tablet; I'm disappointed that Amazon have taken the decision to end support for tablets. Whilst a phone is convenient, a tablet offers a better viewing experience.",1,Google Play
"This app used to work on my tablet, android 13, .become corrupted, I deleted the app, now it is not available. Amazon get your act together.😡Deleted",1,Google Play
"Has a bug, now unusable, please fix!",1,Google Play
great stuff at fab prices,5,Google Play
"billion dollar company app experience - horrible UI lag, absolutely nothing about navigation is snappy. trying to browse or view different product options feels like being back on dial-up to the point it's not even worth browsing after 5 minutes. navigation requires far too many click thrus and no efficient way to return to a previous page. what do UI/UX people even do? 🤷‍♀️",1,Google Play
"App crashes every single time I make a search. Forced stop on app, cleared cache, still crashes.",1,Google Play
bug on app that closes it within 10 seconds of opening. pls fix asap,1,Google Play
Easy process.,5,Google Play
the new ai experience is is seriously lacking in the returns option. asks a question and then you can't type your reply no reply box. recently bought a new pair of shoes that some one wore in the mud...,1,Google Play
greatest thing ever so easy and so much fun to use,5,Google Play
"Amazon should be called, creators home 🏠",5,Google Play
customer service is very bad .....named mostafa......better to chat or talk with ai than your human tram....absolutly poor service from saudi arabia,1,Google Play
"the new update is so stupid and annoying. you can't swipe through the pictures anymore, you are stuck with whatever picture is in the thumbnail which is so small it's hard to make anything out and you can't click on it to enlarge it. I fact clicking on it just takes you back to the same exact thing. the lay out is to cluttered now with information I don't care that much about. I will no longer be using Amazon until they revert it or come up with a better user interface because this one sucks",1,Google Play
Cant install on Samsung tablet.,1,Google Play
"So I had a scheduled pick up of couple of items for Amazon from this DRAGONFLY today on Feb 19/26 they sent Me an email in the morning and said we're on our way to pick up your package, I waited all day at home and at around 8 o'clock at night i got a text message saying that some Indian guy named DEEPAK will pick up my package and around 9 o'clock I got an email that Deepak tried to pick up packages but couldn't, I was home all day Deepak never called or buzz , so Deepak lied",1,Google Play
having problems with the dim screen control,3,Google Play
"easy to use, trustworthy",5,Google Play
You can get your shopping done if you know what the item details are. The search feature is very inefficient. The site is difficult to use if you are shopping for items and want to compare prices as a details.,3,Google Play
Overpriced tack!,1,Google Play
amazing,5,Google Play
prices are so high on the app,2,Google Play
"WHATS GOING ON???? NOT COMPATIBLE WITH TABLET!!!! I hate using the web, the app was so much easier, please sort this out. I have it on my phone but not on my tablet, this is ridiculous, please fix it!!!",1,Google Play
"2/22/26 phone was on vibrate with no sound, plus do not disturb. No apps are allowed through yet this app repeatedly wakes me up at 2 or 3 or 4 am with notification sounds for stupidness like sales on items I have zero interest in. I'd also love it if I could also ONLY get important notifications (which respect my SYSTEM WIDE volume and alert settings) instead of SPAM that alerts me a dozen times a day for junk. Rufus is useless as is the app. At this point 99% of results are sponsored.",1,Google Play
BUYER BEWARE AMAZON HAUL This review is specific to Amazon Haul. Recently I had an undelivered order. Per normal Amazon refunded the items. The import charges totally over $20 of and $132 dollar order are not refundable per Amazon Policy. So be warned if you don't get your items you will only get a partial refund,1,Google Play
excellent,5,Google Play
doesn't allow me to keep purchases private.,1,Google Play
"I feel like the ability to schedule an order would really help all these issues with payments occurring too late. I would love for you to be able to run my card automatically after I get paid, basically. You can do a whole marketing campaign on that alone because nobody does it. I'd feel good knowing I have the order placed ahead of time before I got paid so nobody else can snatch up that money first. You're welcome to whoever submits the idea.",2,Google Play
"It would be convenient for customers and lucrative to business if we could schedule a purchase. It's a simple idea, but may be revolutionary.",3,Google Play
Used for 20 minutes and my phone turned into a furnace. This app has always caused heat problems on various phones but it's gotten so bad I uninstalled.,1,Google Play
Not updated so can't be used on tablets. Very inconvenient.,1,Google Play
"""It is unacceptable that Amazon's system clears my entire cart when I only purchase a few items. I spend months finding specific products, and losing them all at once is a major issue. Please fix this so that unselected items remain in my cart or are automatically moved to 'Saved for Later' after a partial purchase.""",1,Google Play
Still no dark mode,2,Google Play
it's really amazing,5,Google Play
Amazon is allowing people to sell sex dolls that look like little girls that is pedophilia even if its not a living thing it normalizes pedophilia Amazon needs to sue and remove that product if they don't they obviously support it,1,Google Play
great,5,Google Play
Great app,5,Google Play
"App freezes when selecting options for items ( color, size, etc.).",2,Google Play
no longer compatible with my tablet?,1,Google Play
"I never shopped Amazon before, but heard great things. We decided to become prime members, and I absolutely love it. I order for school (teacher) and home. I also am a fan of the grocery items. I have never had a problem with my orders except for one delivery guy who threw one of my packages and took a picture as he did it 🤦🏻‍♀️.",5,Google Play
this is my everything 🙏❤️❤️💯,5,Google Play
its not a matter of stars since the last update I can not order at all tells me there is a Bug the app editor needs to fix so I can order again 😌😔😪🤤,2,Google Play
"my name is MD JUBAIR MULLA - Hello, Amazon 👋👈",5,Google Play
all day it shuts down! can't do anything! fix this bug!,1,Google Play
works great but needs dark mode option,4,Google Play
i hate the erroneous long press on items,1,Google Play
amazon keeps charging me for prime and won't refund my money,2,Google Play
Give me dark mode,1,Google Play
love Amazon,5,Google Play
That's not fair i've been a customer for a long time and they said there's a credit card fraud or something like that yeah I guess I'll never come back here again forever,1,Google Play
THE AI TRASH HAS TO GO. NOW.,1,Google Play
New forced AI return feature doesn't work. can't select a reason for the return.,1,Google Play
how do you not have your app compatible with Samsung tablets?,1,Google Play
Often late. As in days... Frustrating. Oftentimes I will order a product because they are promising next day delivery. I could have gone to a hardware store or an auto parts store but was being lazy. Or purchased a superior product from Amazon with no rush. But I go all in on the next day delivery and they often fail. The other thing is that a regular seller that is not buying their way to the top through advertising doesn't stand a chance. Would like to turn off sponsored sellers.,2,Google Play
They are trying to make me use WhatsApp.. very suspicious!!!,1,Google Play
brilliant thanks,5,Google Play
I love scrolling on Amazon on my phone. However recently the app has developed a bug. I can use the website just the same... I need to have it known there's a bug and I can't go joyfully scrolling through Amazon anymore.,1,Google Play
Amazon ok. just Hate Notification for products i already brought. it basically annoying. Feel like removing my account.,3,Google Play
I enjoy the comfort zone I am in..,5,Google Play
the AMAZON APP really drains cell phone batteries!!!!!,1,Google Play
Easy great handy shopping experience.,5,Google Play
The shopping is great but sometimes Amazon does not make sure reputable companies are selling products under their name.,4,Google Play
good deals.,5,Google Play
Needs update for support on Razer Egde,1,Google Play
exel nfe,5,Google Play
"Constant bugs, no good deals. Constant bugs, no good deals",1,Google Play
trash give the update to fix the big already. I can't even use the app.,1,Google Play
"Amazon provide fast efficient delivery and access to a wealth of resources. However if you have a problem it is extremely hard work. Their Data security concerns me and they are extremely hard to cancel. I apparently have 5 amazing accounts, a UK one, US one, Aus one etc, have been trying to close them for 4 years. be careful",3,Google Play
it was good but it did not have the nail tips I was looking for,4,Google Play
can't search for anything. the app immediately closes after trying to use the search bar,1,Google Play
"my phone number changed and I got locked out of my account, customer support cannot change my number so im done with it and taking my business elsewhere",1,Google Play
I like how you have to get an otp from a different phone that you can't access when logging onto a different device. It's a super convenient feature. I really disliked how you could just login to your email and get a code before Nice Update! How do you login if you only have one device.,2,Google Play
Very good app easy to find stuff you need to get,5,Google Play
how do i change my cotact details,5,Google Play
it's perfect,5,Google Play
"I had to download an app from a mirror site to get it working on my tablet. why would you force me to do this? the APK works just fine though clearly not designed for tablet ofc. Devs, get your product owners told",1,Google Play
discontinued tablet support,1,Google Play
hangs when trying to switch between us and za stores. selection in sa store is sad really. why cabt we get us stire stuff in other markets with skme consolidated shipping? hasnt your ai told you to do that yet? now it keeps on popping up a nag abiut switching back to za store and throwing away my search. nice. not.,1,Google Play
"service and products are good. but, the app sucks. I have too many issues with this app.",2,Google Play
"App is completely unusable now, can't even log in without it freezing and crashing. Forget customer support, they don't even read the reviews.",1,Google Play
"The search function is worse than ebay in every way imaginable. The app is extremely slow. Tab navigation is unintuitive. You would really think a flagship company like Amazon would have an optimized app... Update: so extremely slow, how can an app this popular function this poorly? Trying to compare prices on ebay and Amazon won't load.. have to change my 2 star rating to 1 star.. *2026 edit- search still broken. I would've made another 1 star review if it let me!",1,Google Play
very good never had a problem,5,Google Play
i can't sign up for prime subscription,1,Google Play
"GO WITH EBAY. Over 60% of my orders since Jan 2025 have been late. I live in KC in the city, less than 10 miles from 3 Amazon distribution centers. Over 60% of the approx 200 orders since Jan 2025. only 80 packages arrived on time. customer service is a joke. get ready for Swarna (actual CSR) to lie and jerk you around to waste your time. I was told they would check promises delivery dates vs actual delivery dates and nothing happened. ebay has 99% on time deliveries to me.",1,Google Play
gift cards are so clutch,5,Google Play
"New AI return process shakes my confidence. Certain categories,like if you had a problem, just lead to a dead-end where the AI asks for more info but there is no way to enter it and proceed. Also, could not find any way to contact an actual human.",1,Google Play
ok so far,3,Google Play
the ads have just become ridiculous at this point. when watching an episode you'll spend more time watching ads than the show. uninstalling.,1,Google Play
app won't load after install,1,Google Play
"I have been a member for over 10 years. Christmas 2025. I ordered a 24in TV when I wanted a 32in. When returning the 24in there were no hiccups, a smooth transaction returned to my original payment. Yay!! My 2nd TV was a joke. Volume defect, when trying to return for a refund apparently the seller wanted me to pay a shipping fee. I WAS NOT going to pay to ship back to the same seller as the 24in... My refund was applied to a gift card and not my original payment. Bye-Bye Amazon!!",2,Google Play
"Is there any way to block or stop LL BEN's password book, 'S..T', from popping up on a daily basis!? I am a CHRISTIAN and I don't want to see profanity advertised every time I open up the app!!  I'm certain there are things you do to accomadate others! Ex., Islam.",3,Google Play
glitch in the latest update! can't see orders!,1,Google Play
"since the latest update, every search opens the ai instead of just taking me to the results. i, and i cannot possibly overstate this, do Not Care what the environment destroying plagiarism machine that lies has to say about my search. just show me the items thanks.",1,Google Play
"YOUR FOSSIL hates to admit it, but this newfangled Amazon doohicky is pretty spiff!",4,Google Play
Like,5,Google Play
always a good experience,5,Google Play
so fine,5,Google Play
"there stealing money from me. i tryed to cancel my amozon prime account a couple months ago but can't. they've stolen at least 32$ from me so far. i wish there was anyone or anything that would hold these evil, slimy people accountable. at all even. thanks for blatantly stealing from me and probably most of your other customers.",1,Google Play
"love this service, shipping is fast and reliable.",5,Google Play
"So easy to do, it's at my fingertips.",5,Google Play
"not available for tablets,why?",1,Google Play
"how sad that this has no support any more. it's like reading a tax law to get thru the ""help"" pages.",1,Google Play
nice,5,Google Play
"popular online shopping platform with a huge variety of products and fast delivery. It’s easy to use, prices are often competitive, and customer reviews help with buying decisions. Sometimes delivery can vary by seller, but overall it’s convenient and reliable.",5,Google Play
Not available on a brand new tablet???? This seems unrealistic.,1,Google Play
Incompatible with my new tablet. This is ridiculous. (Lenovo Tab Plus),1,Google Play
Ever since the latest update I've been having a hard time doing returns because it's run by AI. I've tried numerous time with no luck.,2,Google Play
2026.02 not able to rearrange wishlists. OLD still not fixed: Make it possible to save print & label as pdf ON MOBILE. It's forever been a problem and still isn't a feature! Everytime I click print label it just refreshes the page in app. If I try to send myself the link in email it opens the app and does it again. If it opened in browser I could select save to pdf. So I have to do this in a roundabout way by going on desktop and send the pdf.,1,Google Play
"This app is very user-friendly and easy to navigate. So far, it runs smoothly without any issues. I’m really satisfied with the overall experience.",5,Google Play
amazon is a great place to get well anything and everything you may need and at a phenomenal deal great over all company !!!!,5,Google Play
"I don't know what has happened, I used to frequently buy bits and pieces from this app, then after one of your updates last year, it all went downhill. My purchase history is gone and it keeps telling me that most items aren't available to be shipped to my location, it's infuriating. At this stage, if I could review with no stars, it would be that.",1,Google Play
"TQ MAKE MY DAY ..EASY GOOD TO I FIND MY THING , MY SHOPPING SHOP..HEHEHEH THE GOOD IDEA OF APPSS",5,Google Play
Great place to shop Great prices,5,Google Play
"my app keeps crashing, I can't click on certain things, some products won't fully load or let me click through options. Even when I go to male a purchase the app will crash leaving me to dbl and triple check of the purchase went through or not. It's frustrating trying to shop on the app now.",1,Google Play
"all good, only sad part is some sellers dont sell and ship to south africa, and every country has their own selling platform.",4,Google Play
It's Amazon,5,Google Play
I ordered a phone and yogurt. the driver kept my phone and delivered the yogurt. it's easier to just go to Walmart or Costco.,1,Google Play
"Amazon's predetermined limited range of filters is so restrictive. Unfortunately, we're a slave to this corporation.",1,Google Play
"Exceptional app. super fast delivery, like no other shopping platform ... highly recommended 10 stars",5,Google Play
It was useful,5,Google Play
"Mostly cheap, some products can be found cheaper on other sites like Takealot. The free delivery is bu far the best.",5,Google Play
thank you for making me feel so welcome 😎👍,5,Google Play
not available in my region 😕,1,Google Play
"if I ever need anything, I know that I can get it from Amazon and the delivery will be fast.",5,Google Play
For the most part I get everything just right for me 💖💖,5,Google Play
Quick and easy to use. lots of variety on items. Need to expand on shoe options,4,Google Play
برنامج جميل وفيه كل حاجة,5,Google Play
"try make order all time long time to ship, app send lot spam get prime, if you no get prime spam dont stop, ok get prime magic 2day ship,?, no no ship realy bad app now, cancell prime but never refound lost time and money👎",1,Google Play
the best app in the world. the app is commpare to daraz,5,Google Play
good,4,Google Play
"Amazon is a comprehensive online retail platform that provides a diverse range of products and efficient delivery services. Its user-friendly interface enhances the shopping experience. Nevertheless, improvements in customer service efficiency and return management could further strengthen overall user satisfaction.",5,Google Play
very good I'm impressed,4,Google Play
good,5,Google Play
"I used to order from Amazon all the time and now it signs me out everytime I use the app and when I try to sign back in it just says ""we've detected unusual activity on your account"" at first I believed that so I changed my passwords when it automatically signed me in and then once more it forcefully logged my account out and now I cant even access my account I have an order in place right now and I cant even check the shipping status because of this.",1,Google Play
It's a nightmare I have mental health problems and I'm disabled and they won't let me sign in,1,Google Play
"Amazon Cust. Spt instructed me to uninstall the Amazon Shopping app (Google Play) from my Samsung Galaxy Tablet A8 (2022) because I was switched to Amazon Japan vs US and there was no way to switch back (which is disgraceful design). I uninstalled, & with the guy still on the call found I couldn't reinstall the Amazon Shopping app on my tablet. WTH. I do all my frequent Amazon shopping from my tablet app. I will Not shop via browser on my tablet. When will the Amazon apk devs address/fix?",1,Google Play
Waiting to place first order this month. Will know more once order details are given and delivered. Wishing The Best.,4,Google Play
I always get as described ta mates that was easy,5,Google Play
اقوى برنامج طفرني,5,Google Play
i love amazon it delivers my 📦 package neatly and well mannered i love amazon ❤️♥️,5,Google Play
"It so easy to shop. I have , when not feeling well been able to get the things I need easy and fast.",5,Google Play
bad can't install ?????????!!!!!!!!!!!!!!,1,Google Play
This isn't available for my device ??? !!! Android tablet is 1 year old. 🤪,1,Google Play
yourapp is confusing your computer can't interface with Mine and I can't get on line,1,Google Play
"terrible app. reset password, doesn't work. reset a second time. it works. try to log in, restricted. try spending an hour on the phone. went back to eBay remembering how fkn terrible Amazon actually is for everything except finally finding something useful (rare as fk)",1,Google Play
Why does my Amazon app all of a sudden show Arab Emirates instead of the US??,1,Google Play
"new update sucks, finding things has become way harder and the app design looks cheap and seems cluttered",2,Google Play
"Locked me out after I changed my phone number, zero customer support assistance when requested. Automated walkthrough provides false information on how to fix, app is now bricked.",1,Google Play
Never had a problem with Amazon's mobile app.,4,Google Play
Just bought a Google Pixel 10 Pro paid...but no receipt,1,Google Play
Good for reviews. The shipping times are becoming deeply inaccurate.,3,Google Play
Update for tablet use needed!!,1,Google Play
UI/UX design is super poor. When my LTE is a bit weak I can not open my list/order/history. Glitchy app.,1,Google Play
"it just constantly telling me uh ohh something went wrong. its like, hey you might like this, check it out...uhh ohhh sike",2,Google Play
I love shopping on here cuz it stops me from going outside to the stores to be looking for things that might not be there at Amazon has it all,5,Google Play
Great amazon shopping,5,Google Play
تم الغاء عملية الشراء بسبب التأخير والى الآن لم يتم إسترداد المبلغ منذ ثلاث أسابيع وللأسف لا يوجد خدمة عملاء للتواصل..,1,Google Play
Took money out of my debit card without permission even though I have no Amazon account.,1,Google Play
it's taking a long time to load on my phone,1,Google Play
Bait and switch tactics. It says overnight and once you purchase it gets kicked to Monday. They lie about not having access to the Amazon lockers. This is my official last time purchasing Prime membership since you guys literally can change the ship time whenever you want and I have to deal with it. 👎,1,Google Play
"if you add something to your list or add it to the cart and then think about it for a couple of days, Amazon will instantly raise the price of that item. so buyer beware. and because of that I am limiting my purchases through Amazon because that's bad business and it sucks.",1,Google Play
"new AI return prompting not working, gets stuck on ""OK, was there anything inaccurate about the product description or images? If so, please describe."" and unable to continue return on mobile",1,Google Play
"this app doesn't seem to be available for the Samsung A11+ in the United Kingdom for some reason and tells me it's not compatible anymore, what is going on with the A11+?",2,Google Play
"sloppy experience. I suggest trying to find what you are looking for without typing it into the search bar. Instead, shop by department, then category and try using the filters you can click on to try to narrow down your search and see how close you can get to finding your chosen product. Even when searching with the search bar, Amazon is more interested in offering what they think you might also purchase instead of what you searched for. ""sponsored product"" is also out of control as well.",1,Google Play
O app nao te deixa pedir reembolso de compras em que enviaram menos itens do que foi pedido,1,Google Play
Suddenly stopped working on Samsung tablet after having worked for years. Tried uninstalling and reinstalling and says not supported. Goodbye Amazon prime.,1,Google Play
app crashes with every search attempt since the most recent update. completely unusable.,1,Google Play
"amazon, dangerous company, boycott them and it's owner",1,Google Play
"Will not play videos in product images, and cannot back out once a video has been opened. Crashes and loses text I typed when trying to add a picture to a review.",1,Google Play
It's a really easy and straightforward shopping experience every time 👍,5,Google Play
love amazon they always get my orders here fast.,5,Google Play
"App no longer allows me to take a long screenshots anymore!!!! oh sure, the app allows a regular screenshot BUT my Samsung s25 lets me take entire page screenshots but cuz Amazon thinks I want to share the screenshot I just took, it stops me dead in my tracks from being able to scroll the page while taking a long screenshot at the same time!! it keeps constantly popping up a full page bunch of nonsense trying to get me to share it to all these different platforms!! What a joke!!!!!!",1,Google Play
always had great experiences with Amazon,5,Google Play
Mein Konto ist immernoch gesperrt obwohl seit über einem Jahr alle offenen Zahlungen beglichen wurden. Kundenservice ist entweder nicht erreichbar oder keine Hilfe.,1,Google Play
no good,1,Google Play
"i swear if ur package is ""lost"" you never can get ur money back its actually crazy",1,Google Play
"It's very irritating that you can't use the app to remove a payment method, only add one. And it was also not letting me complete a return today. Luckily, I have a laptop to pull up the website so I don't have to fight with the useless customer service bot.",3,Google Play
"Most orders arrive when the listing indicates. I've been finding many, recently, that will say they will deliver today, but once my order is placed, it changes to a next day or later delivery time. My job requires me to travel. When I place an order based on that delivery time, I need it to be reliably delivered at the time indicated by the item post. Also, some street addresses in complexes have several circles with lot numbers.",4,Google Play
good app to download it on your phone,5,Google Play
Poor after-sales service,1,Google Play
The app keeps crashing!,1,Google Play
too many updates,1,Google Play
"Great app. But the ai thing says there's a retry payment method right by the order. I've looked and no button. please fix this. It would be great if it was below the Big revise payment button. when it needs to be revised but with ""retry payment method"" underneath the revise payment. thank you.",5,Google Play
"What is going on with delivery. Everything is being delivered to the wrong apartment!!!! When I call, the manager tells me they can only deliver to the front apartment! WTH!! I'm looking for another service provider after 10 years! FURIOUS 😠",1,Google Play
Muy bueno👌🫠,5,Google Play
"Basic operation is piss poor, as it stands at the moment it's not fit for purpose. Needs updating to fix what they have broken asap!",1,Google Play
"Uninstalled. This app gives you sponsored listings, ads, Rufus, and garbage AI results. Not much more. Better off shopping elsewhere.",1,Google Play
"App software suddenly started pulling in decades old orders but hid recent ones. The developer works for a pass-through company that buys and sells items then switched products out without the purchaser's knowledge. They used the app history to pull old orders trying to get ""good"" reviews but failed to realize some of that stuff they sold during the pandemic was trash or stolen then switched by their own packaging or shipping people. Stop misusing AI service. Cannot darken screens on either app.",1,Google Play
"new ""ai"" returns won't allow you to return via the app because it won't generate a response. have to go on website to return",1,Google Play
This app keeps crashing on my android phone! I'm hearing is only happening on Android! Please fix it app is crashing again today in Feb 2026. what is the problem!!??,1,Google Play
since update no longer works on android tablet only on phone. Useless as I used my tablet more for shopping than phone. Thinking about cancelling all my amazon prime and music unlimited as not getting a full service anymore. Amazon need to re-think this.,1,Google Play
Excelente! always find what I look for and much more!!!,5,Google Play
"seems like everything I order gets delayed, or the same day delivery stuff doesnt show up. stop having same day delivery if you cannot fulfill the promise. disrespectful",2,Google Play
it is a great app and easy to use and it is well laid out 👍👍👍,5,Google Play
it's consistently crashing. I can't search for anything before it closes out,3,Google Play
There is no clear way in the app to report a bug in the app. I tried to make a return and can't proceed with they new AI feature. There is no way to enter an answer. I took a screenshot and when trying to find a tech support there's a lot of functions and they all are looped back to the beginning. crazy things how they do everything complicated for customers. can you please send me a link how to report bug?,1,Google Play
Love Amazon Great items,5,Google Play
"horrible customer support, they cancelled on me an order, didnt even the decency to update me that they canceled the order, when i went to customer support, instead of helping me they start debating with me, a joke and scammy company, thank god i can count with one hand the times ive bought stuff of off them, they make you wait for your refund when there is a problem on the side of the supplier, and instead of helping in the situation they wont trasnfer you to someone more empathic",1,Google Play
"I love the amazon shopping app, here lately I can't use it because it keeps crashing. I have updated it and tried to clear out everything it's said to do. Still crashes when I get on to the app shopping app. I can't even look on the website because it's sent me shopping app. Please fix.",2,Google Play
good,5,Google Play
"Awesome,They Come 2 Your Home,Good Prices,Nice People....",4,Google Play
"slow as hell now. difficult to customize pieces, very frustrating. makes me look more on eBay.",2,Google Play
used to work fine but keeps force closing when trying to shop. help?,3,Google Play
too hard to open my own account???? (WHY),5,Google Play
good,5,Google Play
rubbish,1,Google Play
Love it so easy!!,5,Google Play
"the new updates are making everything harder, click on cart gets ads, i have to repeatedly click on cart icon to get to my actual cart. not to mention all the useless ai additions, all the summeries and product info are just talking in circles, and you get NO actual useful information.",1,Google Play
I don't know if the program the app or the algorithm but sometimes your purchases do not go the way that you want them to sometimes when you create an order it changes the dates on you and I've complained to Amazon about this but they don't seem to care or want to fix the problem,1,Google Play
"""sepetim"" kısmında ürün aradıktan sonra tekrar ""sepet"" ikonuna basınca sepeti göstermiyor, aynı ekranı yeniden gösteriyor ve bu durum çok sıkıcı",1,Google Play
"Shipping has become a week or more now. Promised in 2 days then they lose it, where walmart has delivered. Also, lately I am finding the same items on Walmart app at a lower cost. Amazon is getting worse by the day.",1,Google Play
of course I like amazon but i have been stuck in a continuous loop on the app trying to speak to a person even a chat but it just goes in circles never bringing you there i have placed an order wich says buy in next hour for next day early morning delivery and of course rite after I pay it now says 3 days for shipping and this happens way to often and I am extremely frustrated and if I click on item to buy again it again says next day delivery 4am to 8am so why is mine 3 days after I pay happens,1,Google Play
Easy to order and find thing's,5,Google Play
"The app has a bug and I've been trying to use it recently without success because when I open it, it just closes on its own. Please fix this.",1,Google Play
dissatisfied Gmail stops working all the time,1,Google Play
The app started spamming notifications unrelated to orders or offers (just telling me stuff like 'You friends are buying it already - just one more click'. These notifications cannot be disabled without turning off the system notifications for the app. Annoying as hell,1,Google Play
wouldn't recommend,1,Google Play
absolutely the best to shop at 😊😊,5,Google Play
Bad update! It closes every time you try to look for something!,1,Google Play
great options and discounts,5,Google Play
"1,Very unprofessional way of dealing with customer 2, very unprofessional and bad behaviors from the drivers",1,Google Play
"App werkt redelijk, maar ik erger me mateloos aan de automatisch spelende reclame filmpjes en de ""gesponsord"" troep die de zoekfunctie er niet bepaald beter op maakt. Als ik zoek op een specifiek merk, dan zit ik niet te wachten op generieke Chinese ""alternatieven"", Amazon! (zeker niet als de verkoper negen van de tien keer direct vanuit China verscheept en je dus bij problemen torenhoge verzend kosten zou krijgen voor de retour)",4,Google Play
after update cannot return,1,Google Play
"Useless bloat. Didn't ask. Don't want. Lacks a couple website features we regularly use. Dropped ASAP, mostly because we strongly prefer PC browser interface.",1,Google Play
easy to use,5,Google Play
ok,5,Google Play
"The most recent update is terrible. anytime you add an item to your cart it brings down a buy again banner. if I wanted to buy it again I would have been searching for it. however, most the items that pop up are not something I want and is more intrusive and time wasting than anything.",1,Google Play
"its not working at on my s25 galaxy , the app isn't working at all keeps crashing no matter what I do had to put in a deep sleep",1,Google Play
I DON'T WANT PRIME!!!!!!!!!!!!!!!!! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1,Google Play
"Golden smoke sardines on sale for under $36. 18, 2$ a can. $3 at the store.",5,Google Play
it takes too long to deliver your stuff even with prime,2,Google Play
The app could use some work. Slow at times. Constantly having to close and reopen because it just stops working.,3,Google Play
my favorite place to shop,5,Google Play
Too easy. My fav app,5,Google Play
"Honest product rating was not allowed. The products I buy and like, I give 5 stars to. But, on one order something was not right. So, Amazon did not post rating for 1 star review. I received an email saying ""inaccurate information. Does not meet community guidelines"" after posting a 1 star rating for the poor performance of a lithium-polymer battery that was advertised as a lithium-ion battery.",1,Google Play
Such an easy app to use. I used it literally everyday! any purchase I am planning to make gets a look on Amazon! The only thing that really needs to be added is dark mode.,5,Google Play
good,5,Google Play
you should be able to get this app on any device,1,Google Play
shopping at Amazon is easy,5,Google Play
horrible support,1,Google Play
I find that they are good 😊,5,Google Play
doesn't allow dark mode,1,Google Play
so easy to shop,5,Google Play
Why is it no longer compatible for tablets? I don't understand why Amazon would do this.,1,Google Play
"Google took the money out of my account for my Amazon prime subscription and then did not pay my subscription, there is no customer service, so they stole $16.26 and I cant do anything about it.",1,Google Play
"This is so easy, I'm able to order just about anything especially for my Mom & have it sent straight to her.",5,Google Play
"my first order I've gotten is broken, they won't give me a refund, and they say my account is ""too new to leave a review"" so I guess they just don't care about new customers feedback",1,Google Play
"What would we do without Amazon?? I mean, SERIOUSLY!!",5,Google Play
never on time,1,Google Play
Shopping with Amazon has made finding and purchasing items so easy I would recommend using it for nearly all of your needs and the options are phenomenal there are so many ways to make purchases and you can take as much time as you need to shop on your own time almost anywhere. I have used Amazon for many years now and have never had any packages not delivered and there delivery times are super fast with prime.,5,Google Play
they constantly send me the wrong thing,1,Google Play
need to shop,4,Google Play
"at First Amazon prime was worth having 1 day Delivery, but all 2025 packages that are supposed to get delivered in one day, have been taking 3-8 days witch is rediculous knowing im paying. Amazon is getting too busy to keep up",2,Google Play
